id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
24984484,e6e0d982-5c6a-4b7b-b4d4-869dab6344ca,Wed May 01 2019 16:12:08 GMT+0200 (GMT+2),2019-05-01,2019-05-01 14:12:08 UTC,Africa/Johannesburg,1352409,giorgia_tonetto,,2019-05-12 08:07:14 UTC,2021-02-03 21:22:30 UTC,research,,https://www.inaturalist.org/observations/24984484,https://static.inaturalist.org/photos/38656688/medium.jpg,,"",,3,0,false,3,Germano reale,Anas platyrhynchos,Кряква,Aves,6930
25001549,501b76b4-b89a-4b5c-a1c2-8a5c21750211,2019-05-08 7:03:58 pm CEST,2019-05-08,2019-05-08 17:03:58 UTC,Paris,1744563,attilaolah,Attila Oláh,2019-05-12 16:02:41 UTC,2021-04-16 20:32:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/25001549,https://inaturalist-open-data.s3.amazonaws.com/photos/38684356/medium.jpeg,,"",,3,0,false,2,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
25009092,b67aa30c-a4c0-4361-af57-a2359130c31b,2019-05-08 7:04:09 pm CEST,2019-05-08,2019-05-08 17:04:09 UTC,Paris,1744563,attilaolah,Attila Oláh,2019-05-12 18:00:33 UTC,2019-05-12 18:19:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/25009092,https://inaturalist-open-data.s3.amazonaws.com/photos/38697112/medium.jpeg,,"",,1,0,false,2,Stockente,Anas platyrhynchos,Кряква,Aves,6930
25152383,e106e816-ddab-422c-a959-d03832d8958b,2019-05-15 10:43:42 am BST,2019-05-15,2019-05-15 10:43:42 UTC,UTC,1753337,andrew685,Andrew Booty,2019-05-15 09:47:11 UTC,2021-07-05 18:41:17 UTC,research,,https://www.inaturalist.org/observations/25152383,https://static.inaturalist.org/photos/38933244/medium.jpeg,,"",,2,1,false,2,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
25632496,06102b1d-9ecb-42da-8efd-8cc924c0f492,2019-05-23 5:00:00 pm BST,2019-05-23,2019-05-23 17:00:00 UTC,UTC,1744885,freyjabrown,Freyja Brown,2019-05-23 19:14:20 UTC,2020-02-26 14:08:40 UTC,research,,https://www.inaturalist.org/observations/25632496,https://static.inaturalist.org/photos/39722921/medium.jpg,,"",Malard ducklings,1,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
25634187,3e84e3d8-d7d1-4bc8-b840-25a6b3c7c590,2019-05-23 3:45:00 pm BST,2019-05-23,2019-05-23 15:45:00 UTC,UTC,1744885,freyjabrown,Freyja Brown,2019-05-23 19:44:01 UTC,2019-05-23 20:35:00 UTC,research,,https://www.inaturalist.org/observations/25634187,https://static.inaturalist.org/photos/39725663/medium.jpeg,,"",Lots of mallards at this lake,1,0,false,2,Pato-real,Anas platyrhynchos,Кряква,Aves,6930
25813541,a25fe646-9499-4a98-a727-22cba1d3c468,Sun May 26 2019 18:21:19 GMT+0200 (GMT+2),2019-05-26,2019-05-26 16:21:19 UTC,Africa/Johannesburg,1762928,yoshiiakiza,YoSHii AKIZA,2019-05-26 16:21:52 UTC,2019-06-09 20:38:09 UTC,research,,https://www.inaturalist.org/observations/25813541,https://static.inaturalist.org/photos/40022087/medium.jpg,,"",,5,0,false,3,Canard colvert,Anas platyrhynchos,Кряква,Aves,6930
25984692,3b5e537e-baae-4bf4-b279-f61b9c71f572,2019-05-27 3:48:26 pm BST,2019-05-27,2019-05-27 15:48:26 UTC,UTC,1708054,metalguy3000,,2019-05-29 06:40:21 UTC,2019-10-29 00:54:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25984692,https://inaturalist-open-data.s3.amazonaws.com/photos/40308459/medium.jpeg,,"",,3,0,false,2,Mallard,Anas platyrhynchos,Кряква,Aves,6930
26495978,d130c87e-1aef-44c9-8278-286e1afaffe9,Thu Jun 06 2019 16:10:14 GMT+0100 (GMT+1),2019-06-06,2019-06-06 14:10:14 UTC,Amsterdam,1281677,amedeofelix,Amedeo Felix,2019-06-06 15:10:24 UTC,2019-07-16 23:23:35 UTC,research,,https://www.inaturalist.org/observations/26495978,https://static.inaturalist.org/photos/41148171/medium.jpg,,"",,3,0,false,3,Mallard,Anas platyrhynchos,Кряква,Aves,6930
26667815,0bbd96ca-c83c-4bc6-adb3-2309e0e1ef5c,2019/05/01 4:33 PM CEST,2019-05-01,2019-05-01 14:33:00 UTC,Paris,1851929,heimischetiere,Marco Böhm,2019-06-09 11:44:21 UTC,2024-05-31 21:44:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26667815,https://inaturalist-open-data.s3.amazonaws.com/photos/41422796/medium.jpeg,,"Würzburg, Ringpark, Erpel, Stockente, Ente",Portrait einer Stockente,2,0,false,,Stockente,Anas platyrhynchos,Кряква,Aves,6930
